"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"EN","NMIS","Technical College Akiyi Umulokpa","ENSUMU12","Tertiary","Adult Education","Public","Formal","School","42dc825c-c088-4929-a9f0-0d5b95d7ed0b","u_fc_poi_school.27788",,,"POINT (7.09245 6.499564)"
"AK","OSGOF","Akwa Ibom State University Ikot Akpaden","AKSMKP06","Tertiary","University","Public","Formal","School","446fbdd0-000a-44a1-a0d3-866eef6478cf","u_fc_poi_school.28411",,,"POINT (7.7635462 4.6215078)"
"BE","OSGOF","National Open University Oturkpo","BNSTKP08","Tertiary","University","Public","Formal","School","44a95f74-8aeb-4ff6-85a7-a434e6073485","u_fc_poi_school.28512",,,"POINT (8.14877 7.20227)"
"KB","OSGOF","Wazari Umaru Federal Poly Birnin Kebbi","50603","Tertiary","Adult Education","Public","Formal","School","4530ab1e-de8e-4a3e-b58f-2527c7944dc7","u_fc_poi_school.28731",,,"POINT (4.22172 12.46504)"
"TA","NMIS","Government Junior Technical Training School","TRSTTM05","Tertiary","Adult Education","Private","Formal","School","4564fb8b-d5e2-4b4c-ac9d-249db3263727","u_fc_poi_school.28797",,,"POINT (10.00635 7.229846)"
"EK","GRID","Grace Land International School","EKSADO09","Tertiary","Standard","Private","Formal","School","458ea885-4e3f-4361-8c80-d0e0101c1ae0","u_fc_poi_school.28863",,,"POINT (5.2709167 7.6568767)"
"EK","GRID","Gods Promise Academy","EKSADO03","Tertiary","Standard","Private","Formal","School","462be6cd-4f8d-46fe-bfdd-c1b6154ad079","u_fc_poi_school.29140",,,"POINT (5.2243467 7.6283633)"
"GO","GRID","Misbahus Sunnah College For Arabic And Islamic Studies","GMSSHM04","Tertiary","Standard","Public","Formal","School","46431587-8880-40ca-844b-cd157decd643","u_fc_poi_school.29178",,,"POINT (11.0911787 9.5856004)"
"KD","OSGOF","National Open University","KD0408","Tertiary","University","Unknown","Formal","School","46f9e693-4bf7-451e-99ea-d5c39b767fdf","u_fc_poi_school.29454",,,"POINT (7.467158 10.6121061)"
"EK","GRID","Eminent Group Of Schools","EKSADO12","Tertiary","Standard","Private","Formal","School","4705a400-29a0-438e-963c-1c9f95ccb07e","u_fc_poi_school.29479",,,"POINT (5.2219267 7.6671383)"
"EK","GRID","A1 Divine Wisdom International School","EKSEWT06","Tertiary","Standard","Private","Formal","School","4807cc76-ab9e-4c7f-8c4f-37d4a927f22f","u_fc_poi_school.29897","9","110","POINT (4.958385 7.7981333)"
"OY","NMIS","Imam Buhari College","OYSODS07","Tertiary","Adult Education","Private","Religious","School","480bd442-299e-4556-8cc7-a42243f2f975","u_fc_poi_school.29904",,,"POINT (4.244771 8.10384)"
"EK","GRID","Harmony International School","EKSADO01","Tertiary","Standard","Private","Formal","School","48e0370a-6641-4465-aeb1-2a4c546f1cd4","u_fc_poi_school.30302",,,"POINT (5.26756 7.6042633)"
"IM","GRID","School Of Nursing Joint Hospital Mbano","IMSUML12","Tertiary","Adult Education","Faith Based","Formal","School","48f88fad-f3c7-48ee-8208-70006586d085","u_fc_poi_school.30352",,,"POINT (7.23941 5.6783517)"
