"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"KT","OSGOF","Government Girls Arabic School Fago Mission","43303","Other","Standard","Faith Based","Religious","School","a317fa3c-37e9-45fe-a77c-3d2a7cbefab6","u_fc_poi_school.68439",,,"POINT (8.38535 12.8882)"
"KN","NMIS","Asasu Islamiyya Tofa","KN3910","Primary","Primary","Public","Religious","School","a31a3b37-72bb-40a5-9078-0bc05644fec0","u_fc_poi_school.68443",,,"POINT (8.269805 12.05911)"
"KN","NMIS","Hidayatul Adafal Islamiyya Yola Kazsurawa","KN1607","Primary","Primary","Public","Religious","School","a320a703-cacc-433e-b658-d068bec1086d","u_fc_poi_school.68451",,,"POINT (9.019461 11.77392)"
"KN","NMIS","S Juma Islamiyya","KN4308","Primary","Primary","Public","Religious","School","a336b581-c971-4a9d-901a-94ef3bf562af","u_fc_poi_school.68495",,,"POINT (8.634365 11.93853)"
"JI","NMIS","Nurul Fuda Islamiyya","JI1005","Primary","Primary","Public","Religious","School","a339469f-e082-4985-81d5-761f3d930f4b","u_fc_poi_school.68501",,,"POINT (10.4148836 12.7267227)"
"KN","NMIS","Yamadi Islamiyyal","KN1711","Primary","Primary","Public","Religious","School","a3424c70-d831-455b-857a-941dd4951ad5","u_fc_poi_school.68519",,,"POINT (8.678816 12.06041)"
"KN","NMIS","Government Girls Junior And Senior Islamic Senior Secondary School Garin Ali","KN1402","Secondary","Standard","Public","Religious","School","a3645f51-ca62-4d61-bfbf-5b66410109f0","u_fc_poi_school.68567",,,"POINT (8.861987 11.56839)"
"KN","NMIS","Salisu Quranic School","KN2511","Primary","Primary","Public","Religious","School","a371d457-6960-40fb-b8b2-ef7cdd91b65d","u_fc_poi_school.68591",,,"POINT (8.454429 11.89621)"
"KN","NMIS","Irshadil Umma Islamiya","KN1108","Primary","Primary","Public","Religious","School","a3725ca4-4eab-42b6-8a03-5909ed62e1c5","u_fc_poi_school.68592",,,"POINT (8.619941 10.76824)"
"SO","NMIS","Rangadawa Primary School","60804","Primary","Primary","Public","Religious","School","a3aa8e1e-5bb9-4648-8a8e-fd9cb74094b7","u_fc_poi_school.68696",,,"POINT (5.3877576 13.6107451)"
"KN","NMIS","Mallam Musbahu Quranic School","KN0305","Primary","Primary","Public","Religious","School","a3b8e777-b446-450b-88ba-79efc767e3e0","u_fc_poi_school.68728",,,"POINT (8.189562 12.11934)"
"OY","NMIS","Fist Baptist Nursery and Primary School","OYSOIE04","Primary","Standard","Private","Religious","School","a3ef1f9c-b2ae-49c4-91b2-5fcc920dd81f","u_fc_poi_school.68827",,,"POINT (4.013946 8.191181)"
"KT","NMIS","Badawa Makarantar Allo Primary School","42902","Primary","Primary","Public","Religious","School","a449c9c7-7848-4676-ab44-f90fa5e677e4","u_fc_poi_school.68966",,,"POINT (7.6975483 12.0888877)"
"SO","NMIS","Madarassatul Islamiyya School School Rafin Duma","60404","Primary","Primary","Public","Religious","School","a4548300-b013-4fcc-a848-5798b6041756","u_fc_poi_school.68982",,,"POINT (5.5557578 13.8595883)"
"KN","NMIS","Senior Islamic School Islamiyya College","KN3801","Secondary","Senior","Public","Religious","School","a48274f6-dd1f-4335-aa12-d7e569efead2","u_fc_poi_school.69060",,,"POINT (8.535624 11.96747)"
"EB","NMIS","St Raphaels Nursary and Primary School","EBSZLL18","Primary","Standard","Private","Religious","School","a4b9b22e-a325-4833-8c73-daef16ebb68d","u_fc_poi_school.69144",,,"POINT (7.803302 6.578139)"
