,id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teachers,no_of_students,global_id,geometry
1042,u_fc_poi_school.57289,KN,NMIS,Tahafizul Quran Dan Gwalalo,KN1808,Primary,Primary,Public,Religious,School,,,888cac0a-5ec0-4420-93ce-8093bdd753b3,POINT (8.489314 11.98576)
1043,u_fc_poi_school.57442,KD,OSGOF,Islamic Flag Center,KD2312,Other,Standard,Faith Based,Religious,School,,,88f1c027-193b-4e5f-9395-66a3bd252896,POINT (7.69582 11.05847)
1044,u_fc_poi_school.57447,KN,NMIS,HayaaUddeen Primary School,KN1803,Primary,Other,Public,Religious,School,,,88f411a1-3c40-4699-b7d0-1739b80c30c8,POINT (8.487299999999999 11.95855)
1045,u_fc_poi_school.57465,OG,NMIS,Ithad Tijaniyat Nursery Primary School,OGSADO16,Primary,Standard,Private,Religious,School,,,88ffafb0-1985-4e28-aa03-1df4336c9fb2,POINT (3.2543382 6.7102772)
1046,u_fc_poi_school.57474,KT,NMIS,Ishadul Atafahl Dinya,40907,Primary,Primary,Public,Religious,School,,,89037512-33cc-41c9-88d8-b081eac802f1,POINT (7.2256499 12.1534072)
1047,u_fc_poi_school.57504,KN,NMIS,Jobe Islamiyya School,KN3906,Primary,Primary,Public,Religious,School,,,89189d5c-b204-45bb-9736-bf607fd32908,POINT (8.316713999999999 12.02837)
1048,u_fc_poi_school.57762,JI,NMIS,Hidayatul Islamiyya Primary School,JI1807,Primary,Primary,Public,Religious,School,,,89b69710-e49f-4f4c-af5d-5f4d504acc56,POINT (10.3155241 12.6882811)
1049,u_fc_poi_school.57996,KT,NMIS,Madarasatul Umulkairi Rafukka Kofo Ukku,42105,Primary,Primary,Public,Religious,School,,,8a34e559-d55c-4ca0-900b-13b2b2f2ff95,POINT (7.6039101 13.0063057)
1050,u_fc_poi_school.58163,KN,NMIS,Gogori Islamic Primary School,KN0304,Primary,Primary,Public,Religious,School,,,8a914ed5-758b-47fc-a027-99cd93bd7d4a,POINT (8.068644000000001 12.15152)
1051,u_fc_poi_school.58262,KN,NMIS,Kiyawa Islamiyya,KN3506,Primary,Primary,Public,Religious,School,,,8ad20b7c-5fad-402e-aa42-4fc7c21d63ef,POINT (8.057714000000001 11.98982)
1052,u_fc_poi_school.58365,KN,NMIS,Ubayyu Bn Kaab Islamiyya,KN3509,Primary,Primary,Public,Religious,School,,,8b11f453-1df4-4794-b744-d7f43b042c59,POINT (7.990953 12.05335)
1053,u_fc_poi_school.58397,KT,NMIS,Madrasatul Nurul Islam,40904,Primary,Pre Primary,Public,Religious,School,,,8b2654d3-7898-4515-b694-cb1da1d8cc43,POINT (7.3220066 12.2629015)
