,id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teachers,no_of_students,global_id,geometry
520,u_fc_poi_school.62322,KB,NMIS,Government Science Technical College,52105,Tertiary,Adult Education,Public,Formal,School,,,94881abc-d152-4fba-8dfc-445684593b3c,POINT (5.235781 11.4216054)
521,u_fc_poi_school.62574,GO,GRID,Euro Karal,GMSYDB07,Tertiary,Standard,Public,Formal,School,,,952119d3-4f28-4464-b36b-5ad0f77f2842,POINT (11.2265467 10.2675983)
522,u_fc_poi_school.62582,EK,GRID,Ldcb International School,EKSADO12,Tertiary,Standard,Private,Formal,School,,,95263ebd-ffee-4f08-8363-55f3a1a8c73f,POINT (5.2489517 7.6606333)
523,u_fc_poi_school.62674,OG,eHA Polio,Igbajo Polytechnic Ilaro Campus,OGSYES03,Tertiary,Adult Education,Public,Formal,School,,,956252e4-a5ee-4a05-82ac-2800aa5c81a3,POINT (3.004815 6.8874183)
524,u_fc_poi_school.62786,GO,GRID,Gjss Kwarge,GMSBLG07,Tertiary,Standard,Public,Formal,School,,,95a0e825-6d37-4636-b08e-9553678253bc,POINT (11.57396 9.7195033)
525,u_fc_poi_school.62797,EK,GRID,Foursquare Academy,EKSGBN10,Tertiary,Standard,Private,Formal,School,16.0,170.0,95a7d46e-353b-4605-a9e6-0a09c9e4039c,POINT (5.5447083 7.66116)
526,u_fc_poi_school.62838,TA,GRID,Apex Academy,TRSWKR08,Tertiary,Standard,Public,Formal,School,,,95c5504b-ad39-480f-9d8e-851b0fef8742,POINT (9.7880798 7.8638643)
527,u_fc_poi_school.62858,AB,Proxy Logistics,NCRI,ABSKWU10,Tertiary,Adult Education,Federal Government,Formal,School,,,95cfcced-4789-4edd-83e9-63473d6ad92b,POINT (7.5460164 5.4808932)
528,u_fc_poi_school.62904,RI,Proxy Logistics,Government Teachers Training College,RVSABM03,Tertiary,Adult Education,State Government,Formal,School,,,95e71130-8189-42d5-9def-1d9e624a0358,POINT (6.7710321 4.7762451)
529,u_fc_poi_school.63392,AB,GRID,Nigerian Theological Seminary Aba Campus Umuojima Road,ABSSSM11,Tertiary,Standard,Private,Formal,School,,,970c05cd-16f5-48ca-8ea8-14eb9926cff1,POINT (7.3151833 5.1405417)
530,u_fc_poi_school.63418,GO,GRID,Ibrahim Ahmed Academy Kumo,GMSAKK08,Tertiary,Standard,Public,Formal,School,,,971cdfff-8284-4e08-87b8-ac272a01f3b7,POINT (11.2076567 10.0529967)
531,u_fc_poi_school.63424,DE,NMIS,Institute Of Continuing Education,DTSWWR08,Tertiary,Standard,Public,Formal,School,,,972086c9-7a3f-426e-a951-23a87a3a7001,POINT (5.747221 5.518687)
532,u_fc_poi_school.63647,GO,GRID,Kanadi Academy Gombe,GMSGME01,Tertiary,Standard,Public,Formal,School,,,97b4c850-77db-42ad-ba5f-db818e955e5e,POINT (11.1445083 10.2879383)
533,u_fc_poi_school.63812,BA,OSGOF,Abubakar Tafawa Balewa University Bauchi,BA0207,Tertiary,University,Public,Formal,School,,,98165502-0e58-4398-b291-2142db7386a2,POINT (9.7942728 10.2793822)
534,u_fc_poi_school.63859,LA,OSGOF,Agriculture Youth Empowerment School,LASEPE15,Tertiary,Adult Education,Public,Formal,School,,,98399a52-d816-4b32-9e02-2be458d9346e,POINT (3.95971 6.62854)
535,u_fc_poi_school.63949,GO,GRID,Golden Mission Academy,GMSAKK02,Tertiary,Standard,Public,Formal,School,,,986f3b32-6391-4b5b-83e5-520702f4879c,POINT (11.1014783 10.2929717)
536,u_fc_poi_school.64655,SO,NMIS,Nurul Islamiyya,62102,Tertiary,Adult Education,Public,Integrated,School,,,9a0fc04d-cae1-436f-8b36-7eb00a6fbe23,POINT (5.2009236 13.0018882)
537,u_fc_poi_school.64665,KT,NMIS,Madarasatul Ihyaul Sunnah,43101,Tertiary,Adult Education,Public,Integrated,School,,,9a172ae9-97de-4cab-b22a-bbd1abd6ffa5,POINT (7.0361785 11.4088156)
538,u_fc_poi_school.64776,IM,Proxy Logistics,College of Agric Umuagwo,IMSEBM13,Tertiary,Adult Education,State Government,Formal,School,,,9a5f46fc-8a0a-435b-9c7a-4a2530e6fa13,POINT (6.9444255 5.3087052)
539,u_fc_poi_school.64777,EN,OSGOF,University Of Nigeria Nsukka Umunkankai,ENSNSK11,Tertiary,University,Public,Formal,School,,,9a5f47da-fd54-4070-9f21-5e0aa5139dbd,POINT (7.39755 6.85895)
540,u_fc_poi_school.64851,GO,GRID,Police Children School,GMSGME11,Tertiary,Standard,Public,Formal,School,,,9a84fe5a-9767-491c-91e9-94c72175a3f9,POINT (11.163345 10.2942)
541,u_fc_poi_school.65084,LA,GRID,Success Academy,LASIKU01,Tertiary,Standard,Private,Formal,School,3.0,11.0,9b0e6d68-6d89-4c10-aa87-29714228afd6,POINT (3.50328 6.56339)
542,u_fc_poi_school.65086,YO,NMIS,Gujba Government Science and Technology College,70708,Tertiary,Adult Education,Public,Formal,School,,,9b0f3a17-8efc-4560-9986-097852df80b5,POINT (11.9265208 11.4933588)
543,u_fc_poi_school.65143,EN,GRID,Adult Education Centre,ENSMGL01,Tertiary,Adult Education,Public,Formal,School,,,9b304f3b-1019-4654-a628-715570e2a5d1,POINT (7.6039183 6.4592234)
544,u_fc_poi_school.65232,GO,GRID,Professor Abdullahi Mahdi Academy,GMSKWM08,Tertiary,Standard,Public,Formal,School,,,9b6fec28-6d76-4f18-9855-2869a451d071,POINT (11.1765217 10.3118467)
